player_id,name,position,height_cm,weight_kg,age,nationality,since_year,caps,matches,tries,points,url
j50,Jefferson POIROT,Pilier,181,117,33,France,2012.0,36.0,270.0,12.0,60.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j50-jefferson-poirot.html
j122,Cyril CAZEAUX,2 ème ligne,198,117,30,France,2015.0,4.0,219.0,10.0,50.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j122-cyril-cazeaux.html
j155,Matthieu JALIBERT,Ouvreur,184,84,27,France,2017.0,35.0,156.0,41.0,1394.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j155-matthieu-jalibert.html
j197,Romain BUROS,Arrière,187,89,28,France,2018.0,1.0,150.0,37.0,185.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j197-romain-buros.html
j269,Maxime LUCU,Demi de mêlée,177,83,33,France,2019.0,30.0,154.0,15.0,662.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j269-maxime-lucu.html
j286,Benjamin TAMEIFUNA,Pilier,182,148,34,Nouvelle-Zélande / Tonga,2019.0,43.0,128.0,11.0,55.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j286-benjamin-tameifuna.html
j287,Pablo UBERTI,Centre,185,85,28,France,2017.0,0.0,109.0,14.0,70.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j287-pablo-uberti.html
j288,Connor SA,Talonneur,183,101,23,France - Nouvelle-Zélande,2022.0,0.0,31.0,4.0,20.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j288-connor-sa.html
j290,Yoram MOEFANA,Centre,182,97,25,France,2019.0,36.0,109.0,15.0,75.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j290-yoram-moefana.html
j291,Maxime LAMOTHE,Talonneur,183,109,27,France,2017.0,2.0,170.0,31.0,155.0,https://www.ubbrugby.com/equipes/equipe-premiere/effectif/j291-maxime-lamothe.html
